United States Dept of Agriculture ,,,,,,,,
Quick Statistics - Indiana,,,,,,,,
https://quickstats.nass.usda.gov/,,,,,,,,
,,,,,,,,
,TOTAL GM Corn (percent of total corn planted),Bt Corn (percent of total corn planted),Ht Corn (percent of total corn planted),STACKED GENE Corn (percent of total corn planted),Harvested Corn (acres),Harvested Corn (bushels),Corn Production Yield (bushels/acre),Corn Production Value (million USD)
2016,86,2,9,75,5470000,946310000,173,3359.401
2015,88,4,8,76,5480000,822000000,150,3222.24
2014,88,2,8,78,5770000,1084760000,188,4067.85
2013,85,2,10,73,5830000,1031910000,177,4612.638
2012,84,9,15,60,6030000,596970000,99,4316.093
2011,85,7,22,56,5750000,839500000,146,5297.245
2010,83,1,20,56,5720000,898040000,157,4831.455
2009,79,7,17,55,5460000,933660000,171,3417.196
2008,78,7,16,55,5460000,873600000,160,3581.76
2007,59,12,17,30,6370000,980980000,154,4306.502
2006,40,13,15,12,5380000,844660000,157,2677.572
2005,26,11,11,4,5770000,888580000,154,1777.16
2004,21,11,8,2,5530000,929040000,168,1848.79
2003,16,8,7,1,5390000,786940000,146,1990.958
2002,13,7,6,0,5220000,631620000,121,1522.204
2001,12,6,6,0,5670000,884520000,156,1751.35
2000,11,7,4,0,5550000,810300000,146,1539.57
